測站                  ,日期                  ,測項                  ,00                             ,01                             ,02                             ,03                             ,04                             ,05                             ,06                             ,07                             ,08                             ,09                             ,10                             ,11                             ,12                             ,13                             ,14                             ,15                             ,16                             ,17                             ,18                             ,19                             ,20                             ,21                             ,22                             ,23                             
臺東                  ,2020/07/24 00:00:00 ,RH                  ,74.9                           ,77.4                           ,77.3                           ,77                             ,75.9                           ,76                             ,74.2                           ,64.3                           ,63.8                           ,64.9                           ,64.4                           ,64.1                           ,64.8                           ,64.7                           ,63.1                           ,62.8                           ,64.9                           ,69.5                           ,71.9                           ,72.3                           ,76.3                           ,75.5                           ,74.8                           ,76.8                           
臺東                  ,2020/07/24 00:00:00 ,SO2                 ,3.2                            ,1.1                            ,1                              ,1.2                            ,1                              ,1.2                            ,1.2                            ,1.6                            ,1.1                            ,1                              ,1                              ,1                              ,0.5                            ,1                              ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,1                              ,0.5                            ,1                              ,0.5                            ,0.5                            ,1                              
臺東                  ,2020/07/24 00:00:00 ,WD_HR               ,322                            ,322                            ,309                            ,315                            ,307                            ,326                            ,329                            ,241                            ,181                            ,176                            ,166                            ,187                            ,157                            ,150                            ,185                            ,197                            ,173                            ,195                            ,192                            ,197                            ,197                            ,195                            ,197                            ,197                            
臺東                  ,2020/07/24 00:00:00 ,WIND_DIREC          ,316                            ,330                            ,305                            ,330                            ,307                            ,322                            ,330                            ,218                            ,178                            ,181                            ,169                            ,197                            ,133                            ,147                            ,190                            ,199                            ,177                            ,201                            ,179                            ,195                            ,194                            ,193                            ,194                            ,199                            
臺東                  ,2020/07/24 00:00:00 ,WIND_SPEED          ,1.02                           ,0.89                           ,0.99                           ,0.72                           ,0.99                           ,1.01                           ,1.21                           ,1.52                           ,2.05                           ,2.22                           ,2.12                           ,2.61                           ,2.52                           ,2.62                           ,2.4                            ,2.33                           ,2.15                           ,1.86                           ,1.32                           ,1.75                           ,2.45                           ,1.4                            ,1.81                           ,1.67                           
臺東                  ,2020/07/24 00:00:00 ,WS_HR               ,0.84                           ,0.8                            ,0.78                           ,0.83                           ,0.53                           ,0.7                            ,0.8                            ,0.41                           ,1.21                           ,1.38                           ,1.5                            ,1.55                           ,1.67                           ,1.77                           ,1.83                           ,1.77                           ,1.38                           ,1.37                           ,1.03                           ,1.28                           ,1.78                           ,1.28                           ,1.45                           ,1.56                           
臺東                  ,2020/07/25 00:00:00 ,AMB_TEMP            ,29.8                           ,29.5                           ,29.1                           ,29.1                           ,28.9                           ,28.4                           ,28.7                           ,30.2                           ,31.3                           ,32                             ,31.6                           ,32                             ,32.7                           ,32.5                           ,32.5                           ,32.8                           ,31.3                           ,30.9                           ,30.3                           ,30                             ,29.9                           ,29.7                           ,29.4                           ,29.3                           
臺東                  ,2020/07/25 00:00:00 ,CO                  ,0.15                           ,0.05                           ,0.1                            ,0.05                           ,0.1                            ,0.18                           ,0.2                            ,0.26                           ,0.32                           ,0.25                           ,0.26                           ,0.24                           ,0.22                           ,0.17                           ,0.18                           ,0.19                           ,0.18                           ,0.33                           ,0.21                           ,0.23                           ,0.22                           ,0.19                           ,0.15                           ,0.13                           
臺東                  ,2020/07/25 00:00:00 ,NO                  ,0.3                            ,0.3                            ,0                              ,0                              ,0.5                            ,2                              ,3.7                            ,3.7                            ,2.6                            ,3.2                            ,2.1                            ,2                              ,2.1                            ,1.7                            ,5.4                            ,1.9                            ,1.5                            ,2.1                            ,1                              ,1.7                            ,1.8                            ,1.4                            ,0.9                            ,0.3                            
臺東                  ,2020/07/25 00:00:00 ,NO2                 ,1.7                            ,1.4                            ,3.2                            ,2.4                            ,2.8                            ,4.7                            ,4                              ,3.8                            ,2.7                            ,3.4                            ,3.2                            ,2.7                            ,2.1                            ,2.3                            ,4.2                            ,3.1                            ,2.8                            ,5.8                            ,4.9                            ,6                              ,5.4                            ,4.4                            ,3.2                            ,2.7                            
臺東                  ,2020/07/25 00:00:00 ,NOx                 ,2                              ,1.7                            ,3.2                            ,2.3                            ,3.4                            ,6.7                            ,7.6                            ,7.5                            ,5.3                            ,6.6                            ,5.3                            ,4.7                            ,4.2                            ,3.9                            ,9.6                            ,5                              ,4.3                            ,7.9                            ,5.9                            ,7.8                            ,7.2                            ,5.8                            ,4.1                            ,3                              
臺東                  ,2020/07/25 00:00:00 ,O3                  ,18.8                           ,14.6                           ,10.8                           ,9.4                            ,8.8                            ,3.4                            ,5.7                            ,12                             ,15.7                           ,17.2                           ,21                             ,18.5                           ,19.9                           ,21.1                           ,20.5                           ,21.1                           ,22.7                           ,19.9                           ,17.4                           ,13.9                           ,14                             ,14.2                           ,14.5                           ,14.3                           
臺東                  ,2020/07/25 00:00:00 ,PM10                ,11                             ,5                              ,5                              ,5                              ,10                             ,11                             ,18                             ,11                             ,10                             ,5                              ,5                              ,5                              ,15                             ,12                             ,12                             ,12                             ,20                             ,28                             ,5                              ,12                             ,12                             ,17                             ,10                             ,5                              
臺東                  ,2020/07/25 00:00:00 ,PM2.5               ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              
臺東                  ,2020/07/25 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              
臺東                  ,2020/07/25 00:00:00 ,RH                  ,78.8                           ,78.4                           ,79.9                           ,78.8                           ,76.7                           ,77.8                           ,77.4                           ,72                             ,68.4                           ,65.1                           ,70.3                           ,70.3                           ,67.9                           ,68.2                           ,68.6                           ,69.5                           ,75.7                           ,76.5                           ,74.3                           ,69                             ,69.4                           ,70.8                           ,71                             ,69.4                           
臺東                  ,2020/07/25 00:00:00 ,SO2                 ,0.5                            ,1                              ,1.5                            ,0.5                            ,0.5                            ,1.2                            ,1.3                            ,1.2                            ,1                              ,1                              ,1                              ,1                              ,1                              ,0.5                            ,0.5                            ,0.5                            ,1                              ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            
臺東                  ,2020/07/25 00:00:00 ,WD_HR               ,219                            ,232                            ,229                            ,224                            ,226                            ,273                            ,318                            ,202                            ,186                            ,185                            ,186                            ,180                            ,194                            ,184                            ,196                            ,180                            ,152                            ,49                             ,334                            ,320                            ,324                            ,325                            ,326                            ,321                            
臺東                  ,2020/07/25 00:00:00 ,WIND_DIREC          ,284                            ,278                            ,226                            ,229                            ,220                            ,211                            ,1                              ,178                            ,191                            ,210                            ,195                            ,178                            ,192                            ,202                            ,192                            ,178                            ,146                            ,346                            ,321                            ,325                            ,324                            ,323                            ,314                            ,322                            
臺東                  ,2020/07/25 00:00:00 ,WIND_SPEED          ,1.05                           ,1.2                            ,1.34                           ,0.95                           ,1.02                           ,0.6                            ,0.63                           ,1.67                           ,1.89                           ,1.82                           ,2.11                           ,2.03                           ,2.56                           ,2.15                           ,2.11                           ,1.84                           ,1.95                           ,1.8                            ,1.87                           ,1.86                           ,1.65                           ,1.43                           ,2.06                           ,2.08                           
臺東                  ,2020/07/25 00:00:00 ,WS_HR               ,1.2                            ,1.05                           ,0.74                           ,0.7                            ,1.04                           ,0.39                           ,0.6                            ,1.07                           ,1.27                           ,1.23                           ,1.76                           ,1.97                           ,1.91                           ,1.49                           ,1.6                            ,1.23                           ,1.77                           ,1.02                           ,1.41                           ,1.67                           ,1.55                           ,1.51                           ,1.43                           ,1.58                           
臺東                  ,2020/07/26 00:00:00 ,AMB_TEMP            ,29                             ,28.7                           ,28.3                           ,28.4                           ,28.3                           ,27.8                           ,28                             ,29.6                           ,31.5                           ,32.1                           ,32.9                           ,33.1                           ,34.2                           ,33.9                           ,33.2                           ,33                             ,31.8                           ,31.8                           ,30.3                           ,29.6                           ,29.1                           ,28.9                           ,28.8                           ,28.5                           
臺東                  ,2020/07/26 00:00:00 ,CO                  ,0.12                           ,0.15                           ,0.14                           ,0.14                           ,0.14                           ,0.18                           ,0.21                           ,0.24                           ,0.37                           ,0.3                            ,0.25                           ,0.21                           ,0.21                           ,0.18                           ,0.18                           ,0.18                           ,0.19                           ,0.21                           ,0.21                           ,0.21                           ,0.2                            ,0.18                           ,0.16                           ,0.14                           
臺東                  ,2020/07/26 00:00:00 ,NO                  ,0.3                            ,1                              ,0.8                            ,0.3                            ,0.3                            ,0.3                            ,1.7                            ,2.4                            ,3                              ,2.5                            ,1.7                            ,1.7                            ,2.2                            ,2.2                            ,1.8                            ,1.9                            ,1.9                            ,1.5                            ,1.1                            ,1.1                            ,1.3                            ,0.8                            ,0.6                            ,0.3                            
臺東                  ,2020/07/26 00:00:00 ,NO2                 ,2.3                            ,2.5                            ,2.6                            ,2.6                            ,3.1                            ,3.5                            ,3.7                            ,3.5                            ,4.1                            ,3.3                            ,2.6                            ,2.5                            ,2.9                            ,2.2                            ,2.3                            ,2.5                            ,2.5                            ,3.2                            ,4.2                            ,4.6                            ,3.7                            ,3.1                            ,2.6                            ,2.2                            
臺東                  ,2020/07/26 00:00:00 ,NOx                 ,2.6                            ,3.5                            ,3.5                            ,2.9                            ,3.5                            ,4                              ,5.3                            ,5.8                            ,7.1                            ,5.8                            ,4.3                            ,4.2                            ,5.1                            ,4.3                            ,4.1                            ,4.4                            ,4.4                            ,4.7                            ,5.3                            ,5.7                            ,5                              ,3.9                            ,3.3                            ,2.6                            
臺東                  ,2020/07/26 00:00:00 ,O3                  ,13.3                           ,11.8                           ,9.5                            ,9.8                            ,8.9                            ,7.9                            ,8.7                            ,11                             ,19.6                           ,21.5                           ,23.4                           ,27.5                           ,23.3                           ,20.7                           ,20.8                           ,19                             ,18                             ,18.8                           ,22.4                           ,21.8                           ,20.4                           ,19.9                           ,18.3                           ,17.1                           
臺東                  ,2020/07/26 00:00:00 ,PM10                ,12                             ,5                              ,11                             ,10                             ,5                              ,5                              ,15                             ,12                             ,10                             ,5                              ,5                              ,5                              ,13                             ,14                             ,14                             ,13                             ,16                             ,18                             ,19                             ,5                              ,16                             ,5                              ,5                              ,5                              
臺東                  ,2020/07/26 00:00:00 ,PM2.5               ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              
臺東                  ,2020/07/26 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              
臺東                  ,2020/07/26 00:00:00 ,RH                  ,70.3                           ,70.1                           ,71.2                           ,68.9                           ,70.1                           ,72.6                           ,72.1                           ,65.9                           ,63.5                           ,66.4                           ,64.5                           ,64                             ,59.6                           ,60.4                           ,64.7                           ,64.2                           ,68.1                           ,65.2                           ,61.8                           ,63.6                           ,67.1                           ,68.5                           ,69.4                           ,70.2                           
臺東                  ,2020/07/26 00:00:00 ,SO2                 ,0.5                            ,1.5                            ,1.3                            ,1.4                            ,1.4                            ,1.4                            ,1.4                            ,1.5                            ,1.8                            ,1.6                            ,1.7                            ,1.5                            ,1.5                            ,1.5                            ,1.4                            ,1.5                            ,1.5                            ,1.5                            ,1.5                            ,1.4                            ,1.5                            ,1.5                            ,1.5                            ,1.4                            
臺東                  ,2020/07/26 00:00:00 ,WD_HR               ,318                            ,314                            ,320                            ,306                            ,318                            ,317                            ,324                            ,328                            ,196                            ,203                            ,196                            ,192                            ,168                            ,163                            ,148                            ,168                            ,115                            ,23                             ,321                            ,321                            ,321                            ,321                            ,322                            ,319                            
臺東                  ,2020/07/26 00:00:00 ,WIND_DIREC          ,319                            ,311                            ,313                            ,310                            ,340                            ,315                            ,322                            ,262                            ,171                            ,217                            ,192                            ,196                            ,160                            ,158                            ,156                            ,129                            ,60                             ,334                            ,322                            ,322                            ,322                            ,324                            ,321                            ,322                            
臺東                  ,2020/07/26 00:00:00 ,WIND_SPEED          ,1.84                           ,2.01                           ,1.47                           ,1.37                           ,0.9                            ,1.04                           ,1.07                           ,0.8                            ,1.82                           ,2.71                           ,2.83                           ,2.15                           ,2.53                           ,3.24                           ,2.96                           ,1.98                           ,1.56                           ,1.74                           ,1.96                           ,2.26                           ,2.79                           ,2.75                           ,2.88                           ,1.71                           
臺東                  ,2020/07/26 00:00:00 ,WS_HR               ,1.63                           ,1.44                           ,1.15                           ,1.1                            ,0.84                           ,0.97                           ,1.03                           ,0.73                           ,1.11                           ,1.75                           ,1.87                           ,2                              ,1.29                           ,1.83                           ,2.27                           ,1.51                           ,1.3                            ,1.22                           ,2.16                           ,2.22                           ,2.03                           ,2.32                           ,2.2                            ,2.1                            
臺東                  ,2020/07/27 00:00:00 ,AMB_TEMP            ,28.5                           ,28.1                           ,28.2                           ,27.8                           ,27.6                           ,27.2                           ,27.7                           ,28.5                           ,31.7                           ,32.2                           ,32.2                           ,32.4                           ,32.8                           ,33                             ,32.9                           ,32.8                           ,32.1                           ,31.1                           ,30.5                           ,30                             ,26.9                           ,26.5                           ,26.7                           ,26.8                           
臺東                  ,2020/07/27 00:00:00 ,CO                  ,0.14                           ,0.12                           ,0.12                           ,0.11                           ,0.12                           ,0.14                           ,0.17                           ,0.23                           ,0.28                           ,0.26                           ,0.24                           ,0.26                           ,0.24                           ,0.19                           ,0.17                           ,0.21                           ,0.23                           ,0.29                           ,0.27                           ,0.27                           ,0.18                           ,0.15                           ,0.14                           ,0.14                           
臺東                  ,2020/07/27 00:00:00 ,NO                  ,0.3                            ,0                              ,0.3                            ,0                              ,0.3                            ,0.3                            ,0.8                            ,2.2                            ,2.6                            ,2.1                            ,2.3                            ,2                              ,2.7                            ,2.2                            ,1.7                            ,1.6                            ,2.1                            ,2.5                            ,1.3                            ,1.6                            ,1.3                            ,1                              ,0.3                            ,0.8                            
臺東                  ,2020/07/27 00:00:00 ,NO2                 ,2.3                            ,2.5                            ,2.7                            ,2.6                            ,2.5                            ,2.9                            ,2.9                            ,3                              ,3                              ,3                              ,2.5                            ,3.7                            ,3.1                            ,2.2                            ,1.9                            ,2.3                            ,2.8                            ,3.9                            ,4.5                            ,6                              ,3.9                            ,2.8                            ,2.3                            ,2.7                            
臺東                  ,2020/07/27 00:00:00 ,NOx                 ,2.7                            ,2.4                            ,2.9                            ,2.6                            ,2.7                            ,3.3                            ,3.6                            ,5.1                            ,5.6                            ,5.2                            ,4.8                            ,5.6                            ,5.8                            ,4.3                            ,3.5                            ,4                              ,4.9                            ,6.5                            ,5.9                            ,7.5                            ,5.2                            ,3.8                            ,2.7                            ,3.5                            
臺東                  ,2020/07/27 00:00:00 ,O3                  ,13.1                           ,10.6                           ,10.6                           ,9.5                            ,9.6                            ,7.9                            ,9                              ,9.5                            ,16.6                           ,20.2                           ,20.9                           ,24                             ,21.5                           ,20.5                           ,21.7                           ,20.4                           ,19.3                           ,17.9                           ,17.5                           ,18.3                           ,20.1                           ,18.7                           ,16.6                           ,14.4                           
臺東                  ,2020/07/27 00:00:00 ,PM10                ,5                              ,5                              ,5                              ,10                             ,11                             ,11                             ,11                             ,16                             ,18                             ,5                              ,11                             ,12                             ,11                             ,5                              ,5                              ,12                             ,5                              ,16                             ,11                             ,10                             ,13                             ,5                              ,5                              ,5                              
臺東                  ,2020/07/27 00:00:00 ,PM2.5               ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              ,x                              
臺東                  ,2020/07/27 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,1.8                            ,0                              ,0                              ,0                              
臺東                  ,2020/07/27 00:00:00 ,RH                  ,70                             ,71.5                           ,70.8                           ,72.9                           ,72.9                           ,74.5                           ,71.6                           ,67.5                           ,57.1                           ,62.1                           ,65.9                           ,66.1                           ,66                             ,62.9                           ,65.9                           ,66.9                           ,69.3                           ,74.3                           ,75.4                           ,75                             ,81.3                           ,83.9                           ,83.8                           ,83.2                           
臺東                  ,2020/07/27 00:00:00 ,SO2                 ,1.4                            ,1                              ,1                              ,0.5                            ,0.5                            ,0.5                            ,1                              ,1.1                            ,1.1                            ,1.1                            ,1.1                            ,1.2                            ,1.1                            ,1.1                            ,1.1                            ,1.1                            ,1                              ,1.1                            ,1                              ,1                              ,1                              ,1                              ,0.5                            ,1                              
臺東                  ,2020/07/27 00:00:00 ,WD_HR               ,312                            ,312                            ,318                            ,316                            ,318                            ,312                            ,314                            ,318                            ,277                            ,161                            ,160                            ,166                            ,173                            ,178                            ,195                            ,187                            ,160                            ,146                            ,149                            ,162                            ,308                            ,317                            ,304                            ,305                            
臺東                  ,2020/07/27 00:00:00 ,WIND_DIREC          ,318                            ,309                            ,344                            ,293                            ,310                            ,306                            ,313                            ,322                            ,150                            ,157                            ,209                            ,164                            ,175                            ,169                            ,199                            ,164                            ,197                            ,160                            ,131                            ,307                            ,310                            ,322                            ,299                            ,309                            
臺東                  ,2020/07/27 00:00:00 ,WIND_SPEED          ,1.53                           ,1.26                           ,0.97                           ,1.04                           ,1.49                           ,1.17                           ,1.15                           ,2.08                           ,1.98                           ,2.27                           ,2.41                           ,2.21                           ,2.41                           ,2.31                           ,2.7                            ,2.2                            ,1.66                           ,2.4                            ,2                              ,2.56                           ,1.78                           ,2.57                           ,1.29                           ,1.43                           
臺東                  ,2020/07/27 00:00:00 ,WS_HR               ,1.27                           ,1.14                           ,0.84                           ,0.72                           ,1.04                           ,1.01                           ,1.15                           ,1.54                           ,0.2                            ,1.33                           ,1.55                           ,1.57                           ,1.73                           ,1.74                           ,1.88                           ,1.63                           ,1.21                           ,1.57                           ,1.5                            ,0.26                           ,1.75                           ,2.03                           ,1.37                           ,1.12                           
臺東                  ,2020/07/28 00:00:00 ,AMB_TEMP            ,26.9                           ,27.1                           ,26.9                           ,26.7                           ,26.8                           ,26.5                           ,26.5                           ,27.3                           ,28.8                           ,29.3                           ,30.6                           ,31.5                           ,31.9                           ,31.5                           ,31.5                           ,30.5                           ,27.4                           ,26.5                           ,26.1                           ,26.5                           ,26.7                           ,26.6                           ,26.6                           ,26.5                           
臺東                  ,2020/07/28 00:00:00 ,CO                  ,0.11                           ,0.11                           ,0.11                           ,0.11                           ,0.13                           ,0.13                           ,0.18                           ,0.25                           ,0.29                           ,0.26                           ,0.23                           ,0.2                            ,0.19                           ,0.19                           ,0.21                           ,0.2                            ,0.21                           ,0.36                           ,0.23                           ,0.23                           ,0.26                           ,0.19                           ,0.14                           ,0.13                           
臺東                  ,2020/07/28 00:00:00 ,NO                  ,0.3                            ,0.3                            ,0.3                            ,0.3                            ,0.3                            ,0.3                            ,1.4                            ,3.3                            ,4.9                            ,5.3                            ,2.5                            ,1.7                            ,1.9                            ,1.5                            ,1.4                            ,1.5                            ,1.2                            ,2.3                            ,1.6                            ,1.2                            ,1.7                            ,1.1                            ,0.3                            ,0.3                            
